"username (S)","timestamp (N)","description (S)","subject (S)","subjectType (N)"
"kachamaka","1557300417","Тест","География","0"
"kachamaka","1557426605","Тест","Философия","0"
"kachamaka","1557858619","Тест","Биология","0"
"kachamaka","1558981848","Класно","Английски","0"
"kachamaka","1559241118","Класно","Математика","0"
"kachamaka","1559673136","Класно","Български","0"
"kachamaka","1560364360","Класно","Немски","0"
"kachamaka","1560439895","Изходно","Химия","0"
"teacher","1552429509","6b - excel","true","0"
